sample	read_num	uniq_num	unmap	rRNA	spikein	univec	pri_miRNA	lncRNA	mRNA	piRNA	snoRNA	snRNA	srpRNA	tRNA	tucpRNA	Y_RNA	intron_for	intron_rev	promoter_for	promoter_rev	enhancer_for	enhancer_rev	repeats_for	repeats_rev	passQC	mir_dup_ratio	mir_rmdup_num	QCrankSum
SAMN03863469	5e+06	842347	0.1126738	0.158283	2.12e-05	0.0468486	0.1977592	0.0258652	0.0030448	0.277631	0.0001212	0.0023854	2.94e-05	0.1431408	0.001311	0.0117648	0.0019154	0.0027934	0.001893	0.0017206	0.0039026	0.0037342	0.0016192	0.0015422	TRUE	0.998255454107824	1725	664
SAMN03863470	5e+06	1129418	0.10842	0.1547516	1.84e-05	0.0203148	0.3108986	0.022462	0.0030902	0.2306134	0.0001388	0.0024672	3.06e-05	0.1183574	0.0013834	0.008064	0.0019496	0.0028844	0.0019804	0.0016192	0.0040966	0.0033596	0.0016108	0.001489	TRUE	0.998736565555458	1964	681
SAMN03863471	5e+06	897439	0.113381	0.199322	2.68e-05	0.0363624	0.199591	0.024775	0.0040834	0.2852654	0.0001578	0.0025814	2.98e-05	0.1003526	0.0018368	0.0079768	0.0024268	0.0037492	0.0025898	0.0018754	0.0051838	0.0045424	0.00193	0.0019604	TRUE	0.998272467195415	1724	462
SAMN03863472	5e+06	877203	0.0781976	0.1796738	2.4e-05	0.0237838	0.2306394	0.023196	0.0025494	0.3222424	0.0001536	0.0027188	2.62e-05	0.1131978	0.001267	0.009174	0.0010566	0.0015834	0.0012696	0.001304	0.002578	0.0032858	0.0010172	0.0010616	TRUE	0.998500689821427	1729	586
SAMN03863473	5e+06	1058661	0.114736	0.254593	5.4e-05	0.0101694	0.2747514	0.0205112	0.0063548	0.1856078	0.000244	0.0068114	6.48e-05	0.0796316	0.0027434	0.0103644	0.0034652	0.005249	0.003809	0.0024266	0.0075028	0.0061796	0.0022386	0.002492	TRUE	0.998504102253892	2055	715
SAMN03863474	5e+06	1057832	0.1271516	0.2164858	4.78e-05	0.0019652	0.2937328	0.0198026	0.0052938	0.2024306	0.0001964	0.0060042	4.74e-05	0.0783442	0.0024452	0.0128676	0.003334	0.0050198	0.003507	0.0023898	0.0074128	0.0063894	0.0023806	0.0027514	TRUE	0.99866136842736	1966	507
SAMN03863475	5e+06	1039049	0.1266744	0.2298724	3.64e-05	0.021628	0.2652478	0.0199524	0.0060682	0.1951698	0.0001758	0.0039916	4.78e-05	0.0799952	0.0026056	0.0137018	0.0036816	0.0056474	0.0038096	0.0024062	0.0078428	0.006354	0.002346	0.0027452	TRUE	0.998509318456176	1977	531
SAMN03863476	5e+06	1037597	0.1293982	0.187775	2.62e-05	0.0017082	0.2462976	0.0156498	0.0043046	0.2304886	0.0001858	0.002308	3.96e-05	0.1398398	0.0017342	0.0113298	0.0027516	0.0040952	0.0029118	0.002143	0.005783	0.006162	0.002028	0.00304	TRUE	0.998488008003326	1862	281
SAMN03863477	5e+06	902057	0.1112814	0.1625356	2.7e-05	0.0502932	0.188685	0.0276966	0.0035746	0.2828712	0.000155	0.0026082	2.92e-05	0.1351872	0.0015028	0.011707	0.002274	0.003255	0.0021426	0.0017038	0.0044388	0.0042486	0.0017626	0.0020206	TRUE	0.998045419614702	1844	453
SAMN03863478	5e+06	930493	0.1134014	0.2078628	2.52e-05	0.0142828	0.2256784	0.0249668	0.0040968	0.264996	0.0001706	0.003438	3.58e-05	0.1067272	0.0017922	0.0091464	0.002333	0.0036268	0.0024914	0.001835	0.0049394	0.0044716	0.001819	0.0018634	TRUE	0.998384426688598	1823	366
SAMN03863479	5e+06	957920	0.1041836	0.152648	1.54e-05	0.0104676	0.2420814	0.0269	0.0023828	0.2885164	0.0002042	0.0024666	2.1e-05	0.1398102	0.001146	0.012689	0.0015762	0.0021448	0.0015994	0.0015226	0.0033292	0.0034684	0.0014376	0.0013896	TRUE	0.998454238946074	1871	513
SAMN03863480	5e+06	993544	0.0987814	0.1893492	1.9e-05	0.0093814	0.262	0.026016	0.0031844	0.2644308	0.0001578	0.003244	3.48e-05	0.1109472	0.0015674	0.012202	0.001788	0.0026622	0.0020148	0.0015416	0.0040474	0.0035646	0.001559	0.001507	TRUE	0.99856641221374	1878	336
SAMN03863481	5e+06	1093337	0.1196148	0.2495714	3.66e-05	0.0058088	0.3374178	0.0180454	0.0065234	0.157244	0.0002098	0.0062776	5.76e-05	0.050627	0.0029106	0.0100176	0.0035796	0.0057226	0.0040988	0.0024314	0.0081008	0.0066776	0.0022844	0.0027424	TRUE	0.998784889238209	2050	598
SAMN03863482	5e+06	966296	0.2433478	0.210406	5.46e-05	0.0229016	0.2276466	0.0184888	0.009762	0.125873	0.0002408	0.0057968	4.68e-05	0.0541148	0.0040492	0.0132376	0.0067066	0.0095634	0.0079562	0.00475	0.0142758	0.0124012	0.004429	0.0039514	TRUE	0.998303510792606	1931	621
SAMN03863483	5e+06	1075388	0.0903064	0.2208286	1.9e-05	0.0354884	0.352149	0.0166604	0.0042586	0.1799324	0.0001736	0.0035878	4.7e-05	0.0655888	0.0018606	0.0096092	0.00157	0.0027328	0.0020452	0.0013708	0.0039886	0.0051256	0.0011202	0.001537	TRUE	0.998871500416017	1987	686
SAMN03863484	5e+06	966879	0.1321522	0.1767246	2.68e-05	0.00275	0.2700532	0.0166472	0.0048364	0.2262834	0.000163	0.0026944	3.5e-05	0.1228834	0.001937	0.0121892	0.0030944	0.0046316	0.003255	0.0024296	0.0062354	0.0063182	0.0021126	0.0025474	TRUE	0.998635083753868	1843	414
SAMN03863485	5e+06	906897	0.117438	0.1598978	2.18e-05	0.0431654	0.1941304	0.0241784	0.0031098	0.2927896	0.0001408	0.0023418	3.22e-05	0.1268492	0.0014244	0.0129724	0.0019964	0.0028638	0.0021696	0.0017886	0.0041124	0.0049382	0.0016524	0.0019866	TRUE	0.998159999670325	1786	365
SAMN03863486	5e+06	886479	0.1107678	0.1861778	2.42e-05	0.011801	0.2131584	0.0245532	0.0037984	0.2881874	0.000141	0.0028244	3.06e-05	0.1254234	0.0015674	0.0089378	0.0022302	0.003411	0.0023516	0.0018786	0.0047208	0.0044462	0.0017664	0.0018024	TRUE	0.998339263195821	1770	428
SAMN03863487	5e+06	909755	0.101102	0.1640542	2.08e-05	0.0134546	0.2118804	0.02624	0.0031712	0.3205028	0.0001526	0.0022248	2.7e-05	0.1284076	0.0014474	0.008193	0.0018194	0.002759	0.001962	0.0015966	0.0039438	0.0038472	0.0015386	0.001655	TRUE	0.998401928635211	1693	545
SAMN03863488	5e+06	992532	0.100793	0.1845312	2.58e-05	0.0219698	0.2813782	0.0244362	0.0044448	0.246933	0.0001624	0.0037102	3.24e-05	0.096936	0.0018698	0.008974	0.0023794	0.003681	0.0026866	0.0020694	0.005085	0.004464	0.0017206	0.0017172	TRUE	0.998670117301198	1871	340
SAMN03863489	5e+06	1074502	0.1141896	0.2282602	4.8e-05	0.0117974	0.2884156	0.019308	0.005645	0.2013354	0.000204	0.0060798	5.86e-05	0.0766524	0.0023718	0.0131134	0.0033586	0.0050842	0.0035696	0.0023494	0.0071616	0.0061474	0.0021936	0.0026564	TRUE	0.998576359947243	2053	632
SAMN03863490	5e+06	1045030	0.1617714	0.211855	3.52e-05	0.012828	0.3112712	0.0199424	0.0066232	0.1624166	0.0001926	0.0066322	5.16e-05	0.0448286	0.0028568	0.0157886	0.0043234	0.0064484	0.0049486	0.0031094	0.0097308	0.0081302	0.0029996	0.0032162	TRUE	0.998676395374837	2060	519
SAMN03863491	5e+06	1125706	0.1190944	0.1981324	5.02e-05	0.0174402	0.3367174	0.0181222	0.0049814	0.1841248	0.0002486	0.0038472	5.1e-05	0.0692938	0.0022416	0.0165728	0.0029168	0.0044142	0.0031952	0.0021156	0.006354	0.0056486	0.0021334	0.0023042	TRUE	0.998662973757816	2251	614
SAMN03863492	5e+06	918535	0.0922744	0.2810074	3.08e-05	0.0271764	0.2702114	0.0152144	0.0052456	0.2045506	0.0002018	0.0048124	5.26e-05	0.0635578	0.0021844	0.0118402	0.0017772	0.0032308	0.0025558	0.0016362	0.0047742	0.005006	0.001238	0.0014216	TRUE	0.998678072057656	1786	443
SAMN03863493	5e+06	839635	0.1034858	0.180849	2.46e-05	0.0163136	0.1839792	0.0285718	0.003026	0.2956634	0.000154	0.002832	3.02e-05	0.1572654	0.0012872	0.0080692	0.0018306	0.0025624	0.0017152	0.001743	0.0035546	0.004012	0.0014826	0.0015482	TRUE	0.9980986981137	1749	381
SAMN03863494	5e+06	891613	0.1073258	0.1833118	1.84e-05	0.0027094	0.2090468	0.025188	0.0031744	0.2920608	0.0001524	0.0028822	3.24e-05	0.1400208	0.0013668	0.0137634	0.0017686	0.0027984	0.0019074	0.0016168	0.0038532	0.0038102	0.0016034	0.0015886	TRUE	0.998268330345167	1810	640
SAMN03863495	5e+06	982361	0.1103992	0.2164696	3.72e-05	0.0103248	0.2478986	0.0234532	0.0049106	0.2495934	0.0002064	0.0031016	2.88e-05	0.0923456	0.0021652	0.0118834	0.0027446	0.0043716	0.0030726	0.002162	0.005897	0.004855	0.0020952	0.0019844	TRUE	0.998439684612983	1934	408
SAMN03863496	5e+06	1050628	0.0747232	0.1793792	1.74e-05	0.0088066	0.2973236	0.0265868	0.002531	0.2785122	0.0001714	0.0031788	3.06e-05	0.1055048	0.0011338	0.0106472	0.0009702	0.001566	0.0012242	0.0009844	0.0023132	0.0023268	0.0010304	0.0010382	TRUE	0.998640538457089	2021	583
SAMN03863497	5e+06	998823	0.1353988	0.2346322	3.34e-05	0.00598	0.2491272	0.0194672	0.0051338	0.2078776	0.0001874	0.005423	5.68e-05	0.0903074	0.0023344	0.0120728	0.003105	0.0046438	0.0034324	0.0022126	0.0070446	0.006487	0.002286	0.0027566	TRUE	0.998519631738325	1844	601
SAMN03863498	5e+06	1069137	0.1169134	0.2149438	2.96e-05	0.0118518	0.3174	0.0185236	0.0047374	0.1804516	0.0001814	0.0058214	4.84e-05	0.0799474	0.0022766	0.0172916	0.0029604	0.004503	0.0031928	0.002122	0.0065724	0.005756	0.00207	0.0024054	TRUE	0.998693761814745	2073	280
SAMN03863499	5e+06	972501	0.1500614	0.2245264	3.92e-05	0.0203486	0.2041066	0.019036	0.0060398	0.2216072	0.0001656	0.0030812	4.96e-05	0.1003436	0.0025198	0.0115418	0.0037568	0.0058526	0.003872	0.0026128	0.0079918	0.0070916	0.002513	0.0028426	TRUE	0.998166644292737	1871	553
SAMN03863500	5e+06	1051422	0.1321564	0.2013806	3.06e-05	0.012255	0.2623456	0.017304	0.005117	0.2161526	0.0001806	0.0032508	4.84e-05	0.0888278	0.0022364	0.027376	0.0031592	0.0048398	0.0034216	0.0022178	0.0070258	0.0060316	0.0021302	0.0025122	TRUE	0.998531707793079	1926	403
SAMN03863501	5e+06	1036137	0.122475	0.1452808	3.32e-05	0.0055992	0.2768976	0.0260078	0.004012	0.2469318	0.0001324	0.0024632	2.74e-05	0.1308868	0.0017812	0.010494	0.0028808	0.0041732	0.002734	0.002093	0.0056796	0.0050946	0.0021714	0.002151	TRUE	0.998548199767712	2010	228
SAMN03863502	5e+06	814470	0.100802	0.2492626	2.66e-05	0.0204064	0.162376	0.0272892	0.003811	0.2677706	0.0002918	0.0060272	3.98e-05	0.1266606	0.0014716	0.0129874	0.0020328	0.0029394	0.002063	0.0020104	0.0042168	0.004127	0.0016176	0.0017702	TRUE	0.997818643149234	1771	518
SAMN03863503	5e+06	1150025	0.1137152	0.217353	5.04e-05	0.0162312	0.3377608	0.0204364	0.0057934	0.17554	0.00021	0.0042896	4.22e-05	0.0633722	0.00273	0.0109248	0.0031558	0.0050342	0.003717	0.00244	0.0071474	0.0055976	0.002276	0.0021828	TRUE	0.998775464766782	2068	353
SAMN03863504	5e+06	927421	0.2037632	0.1970298	2.56e-05	0.0256174	0.238403	0.0185714	0.0053476	0.1731456	0.000154	0.0044672	4.46e-05	0.0800546	0.0023964	0.009427	0.0043432	0.0058114	0.0043012	0.0031588	0.0088116	0.0087368	0.0031868	0.0032028	TRUE	0.99848240164763	1809	405
SAMN03863505	5e+06	1047113	0.0851262	0.233385	1.9e-05	0.016722	0.3069266	0.0179594	0.0039794	0.2292558	0.000194	0.003427	4.72e-05	0.0726294	0.0017044	0.010812	0.0014452	0.0025824	0.0018958	0.001247	0.00366	0.0043202	0.001029	0.001633	TRUE	0.998747583298417	1922	333
SAMN03863506	5e+06	976034	0.1215236	0.1454184	2.68e-05	0.0028844	0.263452	0.0166576	0.004627	0.29988	0.000114	0.0033098	3.34e-05	0.0896676	0.0019098	0.0228322	0.0027536	0.0040052	0.0039108	0.0019054	0.0056956	0.005342	0.001865	0.0021858	TRUE	0.998513581221627	1958	552
SAMN03863507	5e+06	969332	0.1100758	0.1691366	2.34e-05	0.0101272	0.2330932	0.0270438	0.003774	0.2722984	0.0001336	0.002612	3.08e-05	0.1368218	0.0016344	0.0095754	0.0024442	0.003565	0.0024594	0.0019284	0.0047546	0.0047396	0.0018686	0.0018598	TRUE	0.998441824986743	1816	378
SAMN03863508	5e+06	1027871	0.1136356	0.177909	2.24e-05	0.0094118	0.2843688	0.0247472	0.0040884	0.2481918	0.0001564	0.0030928	3.86e-05	0.0984376	0.001878	0.0090416	0.0024872	0.0038304	0.0026872	0.0018398	0.005317	0.0047756	0.0019776	0.0020652	TRUE	0.998695356171282	1855	504
SAMN03863509	5e+06	1005004	0.108366	0.156759	2.84e-05	0.01821	0.2740906	0.025714	0.0035876	0.257302	0.000149	0.0028578	3e-05	0.1175866	0.001698	0.010788	0.0023588	0.0034354	0.0023382	0.0018964	0.0048606	0.0042448	0.0018854	0.0018134	TRUE	0.99854719570828	1991	504
SAMN03863510	4405517	796470	0.0997508351460226	0.160525995019427	1.61161561741789e-05	0.0202241870817886	0.209385186801004	0.0273679570411373	0.00350810131932302	0.304701128153631	0.000139597690804507	0.00251207747013574	2.6784597585255e-05	0.141893902577155	0.0014931278213204	0.00866481731883	0.00199976529428896	0.00303596603985412	0.00205673931118641	0.00163930816746366	0.00411484055106359	0.00382134491820143	0.00150947096560971	0.00161275055799353	TRUE	0.998121307387934	1733	610
SAMN03863511	5e+06	1092288	0.1232776	0.218128	4.72e-05	0.0098622	0.3454678	0.0182444	0.0066402	0.1668036	0.0001858	0.0052778	5.34e-05	0.0548294	0.0028996	0.0097496	0.0042262	0.0063228	0.004436	0.0027056	0.0087802	0.0065216	0.0025292	0.0030118	TRUE	0.998781941471825	2104	787
SAMN03863512	5e+06	931685	0.0960466	0.1574738	1.74e-05	0.007917	0.2317536	0.0263588	0.0032434	0.316968	0.0001308	0.0021472	2.72e-05	0.1299438	0.0014548	0.0076122	0.001872	0.0028618	0.001961	0.001525	0.0038948	0.0035944	0.0016094	0.001587	TRUE	0.998474241608329	1768	648
SAMN03863513	5e+06	1097405	0.123033	0.2358208	8.68e-05	0.00562	0.3232562	0.0181208	0.0068892	0.1604368	0.00025	0.0077156	5.52e-05	0.0568606	0.003102	0.0184328	0.0040596	0.0061082	0.004456	0.0029438	0.0088682	0.0079732	0.002795	0.0031162	TRUE	0.998633900912032	2208	486
SAMN03863514	5e+06	1173968	0.204591	0.1508386	8.48e-05	0.0029376	0.3728614	0.017599	0.0086648	0.1182326	0.000155	0.0064068	4.8e-05	0.034004	0.0038324	0.019473	0.0065	0.0090726	0.0065708	0.0046476	0.014499	0.0108884	0.0041476	0.003945	TRUE	0.998695493821565	2432	431
SAMN03863515	5e+06	1033802	0.111238	0.2592354	3.42e-05	0.0106234	0.2804408	0.019129	0.0063492	0.1931248	0.0001934	0.0042888	5.28e-05	0.0676176	0.0026812	0.013201	0.0032024	0.0051178	0.0036442	0.0022442	0.0071634	0.0060028	0.001954	0.0024616	TRUE	0.998590076764864	1977	574
SAMN03863516	5e+06	1073825	0.0951818	0.1828216	5.42e-05	0.0066654	0.3464274	0.0155586	0.0041668	0.2140268	0.000194	0.004499	4.22e-05	0.078003	0.0019966	0.0262402	0.002461	0.003241	0.0023612	0.0018938	0.0050076	0.0054928	0.0018404	0.0018246	TRUE	0.9987310472555	2198	444
SAMN03863517	5e+06	1047950	0.1033	0.1511286	2.4e-05	0.011879	0.2610146	0.0244724	0.00311	0.2735972	0.000151	0.0029252	2.96e-05	0.1323354	0.001408	0.0149628	0.001921	0.0028502	0.0020106	0.0017456	0.0039066	0.0040398	0.001543	0.0016454	TRUE	0.99843227160473	2046	514
SAMN03863518	5e+06	1007916	0.1263152	0.1944788	2.92e-05	0.0187196	0.2750518	0.0228436	0.0056502	0.2190088	0.0001628	0.0035094	3.22e-05	0.08835	0.0025018	0.0107168	0.0034618	0.0054118	0.0036436	0.0024804	0.0072538	0.0055514	0.0024204	0.0024066	TRUE	0.998574086772019	1961	328
SAMN03863519	5e+06	906495	0.1102694	0.1501494	2.32e-05	0.003795	0.2276418	0.0262604	0.0034218	0.3136316	0.0001262	0.002293	1.98e-05	0.12917	0.0015736	0.0092516	0.002308	0.0033	0.0022208	0.0019886	0.0045252	0.0044194	0.0017912	0.00182	TRUE	0.998455468196087	1758	791
SAMN03863520	5e+06	977673	0.0734228	0.1616854	1.5e-05	0.0205144	0.2648686	0.0258868	0.0023724	0.307443	0.0001466	0.0029102	1.98e-05	0.1152576	0.0011218	0.013135	0.0009436	0.0015302	0.0011264	0.0009868	0.0021536	0.002394	0.0010078	0.0010582	TRUE	0.998526061601866	1952	493
SAMN03863521	5e+06	1077889	0.116761	0.2594866	7.02e-05	0.0147068	0.3057442	0.0196136	0.007506	0.1556472	0.000282	0.007467	6.3e-05	0.0576814	0.003304	0.0118196	0.0041348	0.0062826	0.0047366	0.0029126	0.0090112	0.007243	0.00262	0.0029066	TRUE	0.998577896162871	2174	532
SAMN03863522	5e+06	1067524	0.1070108	0.224575	4.42e-05	0.004171	0.3267312	0.0185354	0.0047728	0.1904682	0.0002182	0.0068658	4.94e-05	0.070538	0.0022184	0.0159762	0.0027852	0.0041132	0.0029858	0.0021296	0.0060928	0.0054902	0.0019252	0.0023034	TRUE	0.998752491344567	2038	470
SAMN03863523	5e+06	1131905	0.1116544	0.2103638	4.26e-05	0.0092442	0.3165708	0.0183418	0.0057794	0.2030014	0.0001796	0.0033164	5.16e-05	0.0703026	0.0024788	0.0163844	0.0033972	0.0050462	0.0034932	0.0022578	0.0069648	0.0062202	0.0020844	0.0028244	TRUE	0.998618950326436	2186	491
SAMN03863524	5e+06	1067228	0.1329784	0.2434484	4.08e-05	0.0107156	0.2865144	0.0176154	0.0068524	0.1785498	0.000164	0.0038938	5.62e-05	0.0650406	0.003037	0.0118196	0.004159	0.0065408	0.0044552	0.0027572	0.0088758	0.0068206	0.0026716	0.0029934	TRUE	0.998599023295164	2007	526
SAMN03863525	5e+06	914909	0.1127028	0.1555006	1.7e-05	0.0113608	0.2104494	0.0278416	0.003311	0.2807038	0.000136	0.0023686	3.04e-05	0.1652702	0.0014074	0.0083544	0.0021054	0.0030862	0.0019878	0.0017178	0.0040846	0.0041502	0.0016818	0.0017322	TRUE	0.998288424675955	1801	552
SAMN03863526	5e+06	884786	0.118852	0.213018	3.06e-05	0.0101156	0.1955566	0.0262116	0.004726	0.2629286	0.000167	0.003551	3.46e-05	0.1255072	0.0020422	0.009042	0.0029158	0.0044496	0.0030084	0.0023618	0.0058772	0.005383	0.0020822	0.002139	TRUE	0.99814478263582	1814	403
SAMN03863527	5e+06	969936	0.098631	0.2271768	3.12e-05	0.0079546	0.2458094	0.0255512	0.0041828	0.2433342	0.0002828	0.0050126	3.6e-05	0.1071364	0.0018362	0.009868	0.0023524	0.0035896	0.0024514	0.0020796	0.0048536	0.004357	0.0017044	0.0017688	TRUE	0.998432932182414	1926	465
SAMN03863528	5e+06	948228	0.072323	0.173511	1.28e-05	0.0121512	0.2556452	0.026242	0.002303	0.3018686	0.0001406	0.0031306	2.56e-05	0.1291172	0.0011218	0.0118432	0.0008432	0.001346	0.0010866	0.0010314	0.0019412	0.002443	0.0008934	0.0009794	TRUE	0.998529993913439	1879	311
SAMN03863529	3753955	708674	0.10137441711475	0.144736684376877	3.30318290975784e-05	0.00657946086194427	0.236416259651488	0.0261225827160954	0.00309966422080179	0.30956071663086	0.000146512145190872	0.00294755797552182	2.13108574823087e-05	0.134884408577087	0.00147258025202753	0.0125654143430062	0.00203944906105694	0.00288602287454165	0.00205676413276131	0.00173763404196374	0.00410287283678147	0.00391693560524833	0.00158712611099494	0.00171259378442203	TRUE	0.998127315503394	1662	364
SAMN03863530	5e+06	1200783	0.1197226	0.2154904	4.26e-05	0.0113498	0.353697	0.0190556	0.006885	0.1598814	0.0001966	0.0055926	5.42e-05	0.0497586	0.0030464	0.0166828	0.0040984	0.0062964	0.0045446	0.0027462	0.0087928	0.006563	0.0024576	0.0030454	TRUE	0.998723766387614	2257	471
SAMN03863531	5e+06	1017260	0.1646078	0.1892566	3.82e-05	0.006318	0.3064778	0.0168908	0.0056772	0.1776268	0.0001542	0.0051104	4.32e-05	0.072198	0.002568	0.0129306	0.004113	0.005746	0.0046442	0.0029484	0.0087584	0.008098	0.0028532	0.0029412	TRUE	0.998679186551196	2024	411
SAMN03863532	5e+06	1021402	0.0854474	0.261113	1.88e-05	0.0224804	0.2982702	0.0165836	0.004745	0.2074132	0.0001974	0.003636	5.58e-05	0.0673906	0.0020214	0.0096626	0.0015734	0.0028304	0.002245	0.0015246	0.0042396	0.0058864	0.0011044	0.0015608	TRUE	0.998734704305023	1887	354
SAMN03863533	5e+06	1005354	0.1234306	0.207261	3.58e-05	0.004578	0.2514238	0.0178528	0.0059472	0.2462718	0.0001608	0.0032008	4.36e-05	0.0890142	0.0024744	0.0134828	0.0035112	0.0053068	0.0038512	0.0024678	0.007413	0.0071374	0.0021874	0.0029476	TRUE	0.998513267240412	1869	590
SAMN03863534	5e+06	913973	0.1114068	0.1683662	2.22e-05	0.010398	0.1888558	0.0256256	0.003429	0.3098428	0.0001318	0.0021348	2.78e-05	0.146492	0.0014676	0.0096654	0.0021196	0.003141	0.0021412	0.0019152	0.0042702	0.0049098	0.0016956	0.0019416	TRUE	0.998132967057406	1763	546
SAMN03863535	5e+06	912332	0.1205446	0.1871584	2.2e-05	0.0146288	0.227233	0.02404	0.0042306	0.2568566	0.0001426	0.0029342	3.38e-05	0.1256458	0.0018556	0.0086726	0.0027336	0.003994	0.0027416	0.0021716	0.0055116	0.0048468	0.0019846	0.0020176	TRUE	0.99844300783777	1769	610
SAMN03863536	5e+06	902123	0.1003162	0.1373376	1.58e-05	0.0031016	0.2048942	0.0278156	0.00239	0.3356148	0.000125	0.0021236	2.16e-05	0.146784	0.001217	0.0204252	0.0016094	0.0022124	0.0020284	0.0015904	0.0033408	0.0037632	0.0015242	0.001749	TRUE	0.998258613469781	1784	475
SAMN03863537	5e+06	1090226	0.1220384	0.2241814	4.62e-05	0.0066234	0.2973272	0.0187578	0.0068366	0.1921402	0.0002172	0.006118	5.76e-05	0.0720622	0.0028608	0.0122598	0.00412	0.0062304	0.0043316	0.0029458	0.008523	0.0069874	0.0024692	0.0028658	TRUE	0.998558490444198	2143	266
SAMN03863538	5e+06	852695	0.150633	0.2773134	3.46e-05	0.011436	0.2077362	0.0201854	0.0055838	0.1713928	0.0002414	0.0080874	5.18e-05	0.0929558	0.0021772	0.0187384	0.0034102	0.0047958	0.0037472	0.0024214	0.0073694	0.006885	0.0023962	0.0024076	TRUE	0.998112028620914	1961	447
SAMN03863539	5e+06	1031369	0.0770682	0.2541286	2.2e-05	0.0227258	0.3059862	0.0191222	0.0041344	0.2153896	0.000229	0.0044686	4.64e-05	0.0660884	0.0017496	0.0122304	0.0013858	0.0024466	0.001889	0.0010932	0.0035562	0.003683	0.0009552	0.0016016	TRUE	0.998732622582326	1939	248
SAMN03863540	5e+06	946569	0.1062172	0.2055548	2.96e-05	0.0084584	0.247332	0.0233588	0.0046982	0.2642326	0.0001956	0.003094	3.36e-05	0.097534	0.0022076	0.0110118	0.0026274	0.004124	0.0029626	0.0020042	0.0055764	0.0048042	0.0020346	0.0019084	TRUE	0.998499183284007	1856	355
SAMN03863541	5e+06	930578	0.1114036	0.1940826	4.04e-05	0.0079172	0.2517644	0.0240454	0.0044874	0.2596586	0.000175	0.0032212	3.16e-05	0.1055824	0.0020586	0.0095034	0.00275	0.004165	0.002873	0.0020368	0.0056614	0.004456	0.0020904	0.0019956	TRUE	0.99854467112904	1832	513
SAMN03863542	5e+06	944955	0.1046002	0.1830064	2.06e-05	0.016942	0.2242734	0.0280036	0.0036316	0.2756552	0.0001506	0.0033544	2.78e-05	0.127305	0.001591	0.011178	0.002084	0.0031224	0.002128	0.0014558	0.0042586	0.0037334	0.0016722	0.0018058	TRUE	0.998353794966322	1846	388
SAMN03863543	5e+06	1009970	0.0765146	0.2791644	2.38e-05	0.021503	0.277741	0.0229132	0.0048518	0.209096	0.0002208	0.004676	5.16e-05	0.0700164	0.0018436	0.013409	0.0016086	0.0028774	0.0020484	0.0011528	0.003959	0.0035492	0.0010484	0.001731	TRUE	0.998545407411941	2020	430
SAMN03863544	3987083	788302	0.0997656682843071	0.180967388940737	1.90615545249497e-05	0.00784408049694476	0.253009531028072	0.0264812646237864	0.00403603336073014	0.282469665166238	0.00016553455245351	0.00321187193745402	2.85923317874245e-05	0.103549637667438	0.00183492543295437	0.0138815770827946	0.00234206310728921	0.00353867727358573	0.00248627881586614	0.00165233580539959	0.00483235488200271	0.00419228794584913	0.00178401101757852	0.00190715869220681	TRUE	0.998251335785164	1764	394
SAMN03863545	4608769	825864	0.0988849734061308	0.160536794098381	1.49714598410118e-05	0.00688817339293855	0.206461638671845	0.0258385699087978	0.00300731062893367	0.322099892617747	0.000153186241271802	0.00279879507955378	2.25656786009453e-05	0.144600651497179	0.0014131756223842	0.00909461940921752	0.00181523526130296	0.00267186313742346	0.00194281813646985	0.00155638089042866	0.00375024220133402	0.00352306657157258	0.00151906072966556	0.00140601535898198	TRUE	0.998286976608298	1630	358
SAMN03863546	5e+06	997234	0.123618	0.257709	3.74e-05	0.0063864	0.2667554	0.0183664	0.0063802	0.1833574	0.0001912	0.0058112	5.4e-05	0.0825564	0.0027458	0.0106444	0.003495	0.0055538	0.0040044	0.0024568	0.0076826	0.0073448	0.0022542	0.0025952	TRUE	0.998574724260502	1901	383
SAMN03863547	5e+06	1122374	0.1969532	0.1827898	4.52e-05	0.0129034	0.312025	0.0193984	0.0084706	0.143111	0.0001686	0.004746	4.88e-05	0.0441998	0.003763	0.0104368	0.006694	0.0093146	0.0071114	0.0044552	0.0136828	0.0112068	0.004194	0.0042816	TRUE	0.998643698421601	2116	316
SAMN03863548	5e+06	1064764	0.1058182	0.1524394	2.12e-05	0.0228988	0.2843242	0.0236922	0.004283	0.2605252	0.0001354	0.0025912	3.04e-05	0.1070372	0.0018448	0.008932	0.0026644	0.004039	0.002714	0.0019386	0.005303	0.0048674	0.001865	0.0020354	TRUE	0.998595968967819	1996	251
SAMN03863549	5e+06	983701	0.0964012	0.1847112	2.32e-05	0.006209	0.2576318	0.0250932	0.0037516	0.2800378	0.0001492	0.0031684	2.78e-05	0.109459	0.0017454	0.0103338	0.0020922	0.0032424	0.0023612	0.0017604	0.0044684	0.0041056	0.001626	0.0016012	TRUE	0.99851415857825	1914	389
SAMN03863550	5e+06	1030099	0.0775542	0.185039	4.88e-05	0.030198	0.3033636	0.0259282	0.0031634	0.2522968	0.0001908	0.0034658	2.56e-05	0.0900484	0.0015916	0.0118422	0.0013828	0.0022112	0.0016884	0.0012428	0.0031506	0.0029416	0.001337	0.0012892	TRUE	0.998641893753898	2060	502
